qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3,q1_formatted,q1_milliseconds,q2_formatted,q2_milliseconds,q3_formatted,q3_milliseconds
815,56,31,1,4,7,01:25.0,01:23.8,01:24.0,01:24.960,84960,01:23.760,83760,01:24.021,84021
816,56,8,1,3,8,01:24.3,01:23.2,01:24.2,01:24.259,84259,01:23.190,83190,01:24.158,84158
817,56,15,7,8,9,01:24.4,01:23.7,01:24.2,01:24.446,84446,01:23.727,83727,01:24.172,84172
818,56,17,3,9,10,01:25.0,01:23.7,01:24.8,01:24.992,84992,01:23.718,83718,01:24.795,84795
819,56,21,4,2,11,01:24.4,01:23.8,\N,01:24.434,84434,01:23.771,83771,,
820,56,35,2,17,12,01:25.1,01:23.9,\N,01:25.081,85081,01:23.887,83887,,
821,56,3,3,10,13,01:24.5,01:24.0,\N,01:24.495,84495,01:23.966,83966,,
822,56,14,9,14,14,01:24.8,01:24.1,\N,01:24.849,84849,01:24.101,84101,,
823,56,2,2,16,15,01:25.4,01:24.1,\N,01:25.410,85410,01:24.129,84129,,
824,56,24,5,20,16,01:24.9,01:24.5,\N,01:24.879,84879,01:24.520,84520,,
825,56,32,9,15,17,01:25.4,\N,\N,01:25.410,85410,,,,
826,56,26,5,21,18,01:25.4,\N,\N,01:25.437,85437,,,,
827,56,33,13,18,19,01:26.8,\N,\N,01:26.820,86820,,,,
828,56,27,13,19,20,01:27.1,\N,\N,01:27.088,87088,,,,
829,56,11,8,22,21,01:27.6,\N,\N,01:27.609,87609,,,,
830,56,34,8,23,22,01:29.3,\N,\N,01:29.282,89282,,,,
831,57,4,4,1,1,01:31.1,01:30.3,01:29.8,01:31.138,91138,01:30.336,90336,01:29.816,89816
832,57,30,6,5,2,01:31.2,01:30.0,01:30.0,01:31.235,91235,01:30.013,90013,01:30.028,90028
833,57,13,6,6,3,01:31.9,01:30.7,01:30.4,01:31.921,91921,01:30.732,90732,01:30.407,90407
834,57,22,11,11,4,01:31.7,01:30.5,01:30.8,01:31.671,91671,01:30.469,90469,01:30.754,90754
835,57,8,1,3,5,01:31.3,01:30.2,01:30.9,01:31.263,91263,01:30.203,90203,01:30.933,90933
836,57,18,11,12,6,01:31.4,01:30.8,01:30.9,01:31.420,91420,01:30.755,90755,01:30.940,90940
837,57,15,7,8,7,01:31.8,01:30.7,01:31.4,01:31.809,91809,01:30.733,90733,01:31.419,91419
838,57,35,2,17,8,01:31.5,01:30.9,01:31.5,01:31.545,91545,01:30.865,90865,01:31.542,91542
839,57,31,1,4,9,01:31.8,01:30.7,01:31.9,01:31.774,91774,01:30.671,90671,01:31.880,91880
840,57,17,3,9,10,01:31.7,01:30.9,01:33.4,01:31.712,91712,01:30.892,90892,01:33.405,93405
841,57,23,7,7,11,01:31.5,01:30.9,\N,01:31.470,91470,01:30.944,90944,,
842,57,3,3,10,12,01:32.1,01:31.2,\N,01:32.053,92053,01:31.194,91194,,
843,57,21,4,2,13,01:31.6,01:31.2,\N,01:31.574,91574,01:31.197,91197,,
844,57,14,9,14,14,01:31.7,01:31.2,\N,01:31.742,91742,01:31.227,91227,,
845,57,2,2,16,15,01:31.5,01:31.4,\N,01:31.457,91457,01:31.422,91422,,
846,57,24,5,20,16,01:32.7,01:31.7,\N,01:32.651,92651,01:31.728,91728,,
847,57,32,9,15,17,01:32.9,\N,\N,01:32.901,92901,,,,
848,57,27,13,19,18,01:32.9,\N,\N,01:32.936,92936,,,,
849,57,26,5,21,19,01:33.0,\N,\N,01:32.992,92992,,,,
850,57,33,13,18,20,01:33.7,\N,\N,01:33.658,93658,,,,
851,57,11,8,22,21,01:35.2,\N,\N,01:35.239,95239,,,,
852,57,36,8,23,22,01:46.5,\N,\N,01:46.505,106505,,,,
853,58,4,4,1,1,01:15.8,01:15.1,01:14.6,01:15.816,75816,01:15.124,75124,01:14.648,74648
854,58,21,4,2,2,01:16.0,01:14.8,01:14.7,01:16.046,76046,01:14.766,74766,01:14.709,74709
855,58,30,6,5,3,01:16.0,01:14.6,01:15.0,01:16.049,76049,01:14.637,74637,01:14.970,74970
856,58,13,6,6,4,01:16.4,01:15.2,01:15.4,01:16.359,76359,01:15.245,75245,01:15.442,75442
857,58,22,11,11,5,01:16.3,01:15.3,01:15.9,01:16.266,76266,01:15.258,75258,01:15.885,75885
858,58,23,7,7,6,01:16.2,01:15.2,01:15.9,01:16.234,76234,01:15.164,75164,01:15.885,75885
859,58,15,7,8,7,01:16.2,01:15.1,01:16.0,01:16.174,76174,01:15.068,75068,01:15.976,75976
860,58,18,11,12,8,01:16.1,01:15.1,01:16.0,01:16.054,76054,01:15.150,75150,01:16.008,76008
861,58,8,1,3,9,01:16.6,01:15.4,01:16.0,01:16.613,76613,01:15.422,75422,01:16.015,76015
862,58,2,2,16,10,01:16.3,01:15.5,01:17.1,01:16.322,76322,01:15.468,75468,01:17.144,77144
863,58,17,3,9,11,01:16.7,01:15.5,\N,01:16.685,76685,01:15.502,75502,,
864,58,31,1,4,12,01:16.2,01:15.8,\N,01:16.195,76195,01:15.801,75801,,
865,58,3,3,10,13,01:17.2,01:15.8,\N,01:17.213,77213,01:15.804,75804,,
866,58,35,2,17,14,01:16.1,01:15.8,\N,01:16.066,76066,01:15.847,75847,,
867,58,32,9,15,15,01:16.6,01:15.9,\N,01:16.627,76627,01:15.928,75928,,
868,58,24,5,20,16,01:17.1,01:16.7,\N,01:17.105,77105,01:16.661,76661,,
869,58,26,5,21,17,01:17.4,\N,\N,01:17.361,77361,,,,
870,58,33,13,18,18,01:17.7,\N,\N,01:17.702,77702,,,,
871,58,27,13,19,19,01:18.0,\N,\N,01:18.024,78024,,,,
872,58,11,8,22,20,01:18.9,\N,\N,01:18.920,78920,,,,
873,58,36,8,23,21,01:20.8,\N,\N,01:20.763,80763,,,,
874,58,14,9,14,22,\N,\N,\N,,,,,,
875,59,4,4,1,1,01:14.2,01:13.6,01:14.0,01:14.232,74232,01:13.622,73622,01:13.962,73962
876,59,17,3,9,2,01:14.3,01:13.7,01:14.1,01:14.305,74305,01:13.728,73728,01:14.082,74082
877,59,8,1,3,3,01:13.9,01:13.5,01:14.1,01:13.887,73887,01:13.532,73532,01:14.140,74140
878,59,31,1,4,4,01:14.5,01:14.3,01:14.7,01:14.483,74483,01:14.295,74295,01:14.664,74664
879,59,22,11,11,5,01:14.8,01:14.3,01:15.8,01:14.766,74766,01:14.312,74312,01:15.804,75804
880,59,15,7,8,6,01:14.9,01:14.2,01:15.9,01:14.883,74883,01:14.211,74211,01:15.857,75857
881,59,14,9,14,7,01:15.1,01:13.7,01:16.4,01:15.090,75090,01:13.687,73687,01:16.426,76426
882,59,3,3,10,8,01:14.9,01:13.9,01:16.6,01:14.888,74888,01:13.909,73909,01:16.636,76636
883,59,21,4,2,9,01:14.6,01:13.6,01:17.3,01:14.614,74614,01:13.647,73647,01:17.260,77260
884,59,23,7,7,10,01:14.4,01:14.4,\N,01:14.412,74412,01:14.398,74398,,
885,59,32,9,15,11,01:14.5,01:14.7,\N,01:14.489,74489,01:14.747,74747,,
886,59,24,5,20,12,01:15.3,01:15.0,\N,01:15.314,75314,01:14.969,74969,,
887,59,18,11,12,13,01:15.1,01:15.0,\N,01:15.085,75085,01:14.982,74982,,
888,59,35,2,17,14,01:15.3,01:15.1,\N,01:15.316,75316,01:15.052,75052,,
889,59,2,2,16,15,01:15.3,01:15.1,\N,01:15.324,75324,01:15.137,75137,,
890,59,27,13,19,16,01:15.6,\N,\N,01:15.598,75598,,,,
891,59,33,13,18,17,01:16.0,\N,\N,01:15.993,75993,,,,
892,59,26,5,21,18,01:16.2,\N,\N,01:16.236,76236,,,,
893,59,11,8,22,19,01:17.3,\N,\N,01:17.276,77276,,,,
894,59,36,8,23,20,01:17.5,\N,\N,01:17.502,77502,,,,
895,59,13,6,6,21,\N,\N,\N,,,,,,
896,59,30,6,5,22,\N,\N,\N,,,,,,
897,60,4,4,1,1,01:21.0,01:20.3,01:20.3,01:21.018,81018,01:20.271,80271,01:20.253,80253
898,60,8,1,3,2,01:21.6,01:20.5,01:20.4,01:21.648,81648,01:20.497,80497,01:20.397,80397
899,60,30,6,5,3,01:22.1,01:20.7,01:20.6,01:22.096,82096,01:20.659,80659,01:20.574,80574
900,60,13,6,6,4,01:21.6,01:20.8,01:20.8,01:21.647,81647,01:20.846,80846,01:20.764,80764
901,60,21,4,2,5,01:22.4,01:20.6,01:20.9,01:22.411,82411,01:20.594,80594,01:20.919,80919
902,60,22,11,11,6,01:23.0,01:20.9,01:20.9,01:22.965,82965,01:20.929,80929,01:20.943,80943
903,60,23,7,7,7,01:22.9,01:21.0,01:21.1,01:22.886,82886,01:21.043,81043,01:21.073,81073
904,60,31,1,4,8,01:22.2,01:20.8,01:21.1,01:22.169,82169,01:20.816,80816,01:21.107,81107
905,60,2,2,16,9,01:21.7,01:20.6,01:21.3,01:21.670,81670,01:20.629,80629,01:21.329,81329
906,60,35,2,17,10,01:21.6,01:20.7,01:21.6,01:21.637,81637,01:20.672,80672,01:21.599,81599
907,60,14,9,14,11,01:22.4,01:21.4,\N,01:22.424,82424,01:21.442,81442,,
908,60,3,3,10,12,01:23.1,01:21.6,\N,01:23.083,83083,01:21.567,81567,,
909,60,24,5,20,13,01:22.7,01:21.7,\N,01:22.685,82685,01:21.699,81699,,
910,60,32,9,15,14,01:22.8,01:22.0,\N,01:22.773,82773,01:21.990,81990,,
911,60,26,5,21,15,01:22.5,01:22.1,\N,01:22.541,82541,01:22.076,82076,,
912,60,33,13,18,16,01:22.9,01:22.2,\N,01:22.860,82860,01:22.207,82207,,
913,60,17,3,9,17,01:23.1,\N,\N,01:23.129,83129,,,,
914,60,27,13,19,18,01:23.2,\N,\N,01:23.210,83210,,,,
915,60,18,11,12,19,01:23.2,\N,\N,01:23.247,83247,,,,
916,60,11,8,22,20,01:26.2,\N,\N,01:26.158,86158,,,,
917,60,36,8,23,21,01:26.3,\N,\N,01:26.316,86316,,,,
918,60,15,7,8,22,\N,\N,\N,,,,,,
919,61,4,4,1,1,01:15.4,01:14.7,01:14.9,01:15.350,75350,01:14.726,74726,01:14.942,74942
920,61,21,4,2,2,01:15.9,01:15.3,01:15.2,01:15.917,75917,01:15.295,75295,01:15.178,75178
921,61,8,1,3,3,01:15.4,01:15.3,01:15.4,01:15.376,75376,01:15.273,75273,01:15.386,75386
922,61,15,7,8,4,01:16.5,01:15.5,01:16.0,01:16.455,76455,01:15.506,75506,01:15.968,75968
923,61,30,6,5,5,01:15.7,01:15.1,01:16.0,01:15.716,75716,01:15.139,75139,01:15.986,75986
924,61,3,3,10,6,01:16.4,01:15.3,01:16.0,01:16.404,76404,01:15.269,75269,01:16.012,76012
925,61,31,1,4,7,01:16.3,01:15.3,01:16.2,01:16.251,76251,01:15.253,75253,01:16.228,76228
926,61,18,11,12,8,01:16.6,01:15.8,01:16.6,01:16.594,76594,01:15.814,75814,01:16.608,76608
927,61,22,11,11,9,01:16.7,01:15.6,01:16.9,01:16.735,76735,01:15.601,75601,01:16.912,76912
928,61,13,6,6,10,01:16.3,01:15.6,01:17.2,01:16.259,76259,01:15.555,75555,01:17.209,77209
929,61,35,2,17,11,01:16.5,01:15.8,\N,01:16.493,76493,01:15.832,75832,,
930,61,32,9,15,12,01:16.6,01:15.8,\N,01:16.585,76585,01:15.833,75833,,
931,61,2,2,16,13,01:15.9,01:15.9,\N,01:15.906,75906,01:15.885,75885,,
932,61,23,7,7,14,01:16.7,01:15.9,\N,01:16.702,76702,01:15.888,75888,,
933,61,24,5,20,15,01:16.6,01:16.1,\N,01:16.581,76581,01:16.116,76116,,
934,61,14,9,14,16,01:16.5,01:16.3,\N,01:16.514,76514,01:16.301,76301,,
935,61,17,3,9,17,01:17.0,\N,\N,01:16.985,76985,,,,
936,61,26,5,21,18,01:17.0,\N,\N,01:17.016,77016,,,,
937,61,33,13,18,19,01:17.1,\N,\N,01:17.121,77121,,,,
938,61,27,13,19,20,01:17.1,\N,\N,01:17.140,77140,,,,
939,61,11,8,22,21,01:19.1,\N,\N,01:19.088,79088,,,,
940,61,36,8,23,22,01:19.2,\N,\N,01:19.152,79152,,,,
941,62,30,6,5,1,01:11.6,01:10.6,01:10.8,01:11.588,71588,01:10.636,70636,01:10.832,70832
942,62,13,6,6,2,01:11.1,01:11.1,01:11.4,01:11.088,71088,01:11.146,71146,01:11.435,71435
943,62,21,4,2,3,01:12.3,01:11.2,01:11.9,01:12.287,72287,01:11.200,71200,01:11.920,71920
944,62,22,11,11,4,01:12.2,01:11.3,01:12.1,01:12.156,72156,01:11.263,71263,01:12.109,72109
945,62,4,4,1,5,01:12.4,01:11.9,01:12.4,01:12.416,72416,01:11.877,71877,01:12.449,72449
946,62,35,2,17,6,01:12.1,01:11.7,01:12.5,01:12.114,72114,01:11.724,71724,01:12.479,72479
947,62,18,11,12,7,01:12.2,01:11.9,01:12.5,01:12.238,72238,01:11.865,71865,01:12.523,72523
948,62,23,7,7,8,01:11.9,01:11.7,01:12.8,01:11.879,71879,01:11.673,71673,01:12.795,72795
949,62,8,1,3,9,01:12.8,01:12.1,01:13.2,01:12.777,72777,01:12.135,72135,01:13.174,73174
950,62,2,2,16,10,01:11.9,01:11.7,01:15.3,01:11.891,71891,01:11.718,71718,01:15.280,75280
951,62,31,1,4,11,01:12.5,01:12.2,\N,01:12.477,72477,01:12.150,72150,,
952,62,17,3,9,12,01:12.9,01:12.3,\N,01:12.935,72935,01:12.292,72292,,
953,62,26,5,21,13,01:13.2,01:12.8,\N,01:13.167,73167,01:12.792,72792,,
954,62,27,13,19,14,01:12.7,01:12.9,\N,01:12.711,72711,01:12.854,72854,,
955,62,33,13,18,15,01:12.6,01:12.9,\N,01:12.627,72627,01:12.864,72864,,
956,62,32,9,15,16,01:12.8,01:12.9,\N,01:12.773,72773,01:12.925,72925,,
957,62,14,9,14,17,01:13.2,\N,\N,01:13.180,73180,,,,
958,62,11,8,22,18,01:13.5,\N,\N,01:13.496,73496,,,,
959,62,3,3,10,19,01:13.5,\N,\N,01:13.506,73506,,,,
960,62,15,7,8,20,01:13.8,\N,\N,01:13.787,73787,,,,
961,62,24,5,20,21,01:14.0,\N,\N,01:14.041,74041,,,,
962,62,36,8,23,22,01:16.0,\N,\N,01:16.036,76036,,,,
963,63,30,6,5,1,01:15.9,01:15.1,01:15.5,01:15.865,75865,01:15.111,75111,01:15.493,75493
964,63,13,6,6,2,01:16.3,01:15.7,01:15.5,01:16.277,76277,01:15.679,75679,01:15.510,75510
965,63,4,4,1,3,01:16.3,01:15.7,01:15.8,01:16.328,76328,01:15.706,75706,01:15.785,75785
966,63,15,7,8,4,01:15.6,01:15.8,01:16.0,01:15.550,75550,01:15.776,75776,01:16.036,76036
967,63,23,7,7,5,01:15.9,01:15.6,01:16.1,01:15.949,75949,01:15.625,75625,01:16.091,76091
968,63,8,1,3,6,01:16.2,01:15.7,01:16.3,01:16.154,76154,01:15.742,75742,01:16.281,76281
969,63,21,4,2,7,01:16.8,01:15.9,01:16.3,01:16.825,76825,01:15.901,75901,01:16.345,76345
970,63,37,1,4,8,01:16.7,01:15.9,01:16.6,01:16.679,76679,01:15.902,75902,01:16.632,76632
971,63,3,3,10,9,01:16.5,01:15.9,01:18.3,01:16.534,76534,01:15.926,75926,01:18.272,78272
972,63,14,9,14,10,01:16.4,01:16.0,01:18.7,01:16.350,76350,01:15.974,75974,01:18.663,78663
973,63,17,3,9,11,01:16.5,01:16.1,\N,01:16.531,76531,01:16.129,76129,,
974,63,2,2,16,12,01:16.7,01:16.3,\N,01:16.686,76686,01:16.294,76294,,
975,63,32,9,15,13,01:16.9,01:16.4,\N,01:16.921,76921,01:16.433,76433,,
976,63,22,11,11,14,01:17.0,01:17.0,\N,01:17.022,77022,01:17.027,77027,,
977,63,26,5,21,15,01:17.1,01:17.1,\N,01:17.117,77117,01:17.063,77063,,
978,63,27,13,19,16,01:17.0,01:17.1,\N,01:16.962,76962,01:17.105,77105,,
979,63,24,5,20,17,01:17.2,\N,\N,01:17.164,77164,,,,
980,63,35,2,17,18,01:17.3,\N,\N,01:17.304,77304,,,,
981,63,18,11,12,19,01:17.5,\N,\N,01:17.495,77495,,,,
982,63,33,13,18,20,01:17.6,\N,\N,01:17.589,77589,,,,
983,63,36,8,23,21,01:18.6,\N,\N,01:18.637,78637,,,,
984,63,11,8,22,22,01:18.8,\N,\N,01:18.845,78845,,,,
985,64,8,1,3,1,01:15.2,01:14.4,01:14.1,01:15.214,75214,01:14.410,74410,01:14.070,74070
986,64,30,6,5,2,01:14.9,01:13.8,01:14.2,01:14.904,74904,01:13.778,73778,01:14.205,74205
987,64,13,6,6,3,01:14.4,01:14.1,01:14.6,01:14.412,74412,01:14.094,74094,01:14.569,74569
988,64,18,11,12,4,01:15.9,01:14.4,01:14.9,01:15.869,75869,01:14.378,74378,01:14.862,74862
989,64,21,4,2,5,01:15.9,01:14.5,01:14.9,01:15.916,75916,01:14.540,74540,01:14.894,74894
990,64,22,11,11,6,01:15.8,01:14.7,01:14.9,01:15.757,75757,01:14.652,74652,01:14.934,74934
991,64,4,4,1,7,01:15.5,01:14.7,01:15.3,01:15.518,75518,01:14.746,74746,01:15.282,75282
992,64,23,7,7,8,01:15.8,01:14.7,01:15.9,01:15.789,75789,01:14.743,74743,01:15.923,75923
993,64,37,1,4,9,01:15.7,01:15.0,01:15.9,01:15.655,75655,01:15.021,75021,01:15.936,75936
994,64,14,9,14,10,01:15.8,01:14.8,01:16.3,01:15.836,75836,01:14.826,74826,01:16.326,76326
995,64,17,3,9,11,01:15.7,01:15.1,\N,01:15.719,75719,01:15.094,75094,,
996,64,32,9,15,12,01:15.8,01:15.1,\N,01:15.816,75816,01:15.141,75141,,
997,64,15,7,8,13,01:15.4,01:15.1,\N,01:15.430,75430,01:15.150,75150,,
998,64,35,2,17,14,01:16.3,01:15.3,\N,01:16.281,76281,01:15.329,75329,,
999,64,3,3,10,15,01:16.2,01:15.4,\N,01:16.183,76183,01:15.380,75380,,
1000,64,2,2,16,16,01:16.2,01:15.4,\N,01:16.234,76234,01:15.397,75397,,
1001,64,24,5,20,17,01:16.4,\N,\N,01:16.399,76399,,,,
1002,64,27,13,19,18,01:17.1,\N,\N,01:17.093,77093,,,,
1003,64,11,8,22,19,01:17.2,\N,\N,01:17.185,77185,,,,
1004,64,33,13,18,20,01:17.8,\N,\N,01:17.836,77836,,,,
1005,64,29,8,23,21,01:20.4,\N,\N,01:20.444,80444,,,,
1006,64,26,5,21,22,\N,\N,\N,,,,,,
1007,65,8,1,3,1,01:20.1,01:19.7,01:19.6,01:20.080,80080,01:19.704,79704,01:19.599,79599
1008,65,13,6,6,2,01:19.7,01:19.5,01:19.9,01:19.742,79742,01:19.504,79504,01:19.886,79886
1009,65,22,11,11,3,01:21.1,01:19.8,01:20.1,01:21.141,81141,01:19.783,79783,01:20.085,80085
1010,65,18,11,12,4,01:20.8,01:19.9,01:20.1,01:20.820,80820,01:19.943,79943,01:20.092,80092
1011,65,37,1,4,5,01:21.3,01:20.0,01:20.1,01:21.288,81288,01:19.991,79991,01:20.117,80117
1012,65,17,3,9,6,01:21.3,01:20.0,01:20.3,01:21.335,81335,01:20.047,80047,01:20.266,80266
1013,65,23,7,7,7,01:21.1,01:20.2,01:20.8,01:21.112,81112,01:20.243,80243,01:20.759,80759
1014,65,21,4,2,8,01:21.4,01:20.2,01:20.9,01:21.370,81370,01:20.154,80154,01:20.924,80924
1015,65,15,7,8,9,01:21.4,01:20.2,01:21.1,01:21.434,81434,01:20.231,80231,01:21.132,81132
1016,65,9,2,17,10,01:20.9,01:20.3,01:22.0,01:20.891,80891,01:20.256,80256,01:22.049,82049
1017,65,2,2,16,11,01:21.4,01:20.6,\N,01:21.437,81437,01:20.623,80623,,
1018,65,30,6,5,12,01:21.4,01:20.9,\N,01:21.440,81440,01:20.875,80875,,
1019,65,14,9,14,13,01:21.2,01:20.9,\N,01:21.163,81163,01:20.890,80890,,
1020,65,32,9,15,14,01:22.0,01:21.2,\N,01:22.027,82027,01:21.207,81207,,
1021,65,4,4,1,15,01:21.8,01:21.4,\N,01:21.792,81792,01:21.364,81364,,
1022,65,33,13,18,16,01:22.0,01:23.8,\N,01:22.009,82009,01:23.767,83767,,
1023,65,24,5,20,17,01:22.1,\N,\N,01:22.068,82068,,,,
1024,65,3,3,10,18,01:22.1,\N,\N,01:22.084,82084,,,,
1025,65,26,5,21,19,01:22.3,\N,\N,01:22.317,82317,,,,
1026,65,11,8,22,20,01:23.0,\N,\N,01:22.967,82967,,,,
1027,65,27,13,19,21,01:23.1,\N,\N,01:23.146,83146,,,,
1028,65,29,8,23,22,01:24.0,\N,\N,01:24.016,84016,,,,
1029,66,13,6,6,1,01:27.3,01:27.1,01:26.9,01:27.306,87306,01:27.059,87059,01:26.907,86907
1030,66,30,6,5,2,01:27.4,01:25.9,01:27.3,01:27.385,87385,01:25.850,85850,01:27.284,87284
1031,66,4,4,1,3,01:27.9,01:26.9,01:27.3,01:27.861,87861,01:26.917,86917,01:27.321,87321
1032,66,21,4,2,4,01:28.2,01:27.3,01:27.6,01:28.175,88175,01:27.346,87346,01:27.564,87564
1033,66,23,7,7,5,01:27.7,01:27.1,01:27.6,01:27.668,87668,01:27.062,87062,01:27.569,87569
1034,66,2,2,16,6,01:28.2,01:27.3,01:27.8,01:28.200,88200,01:27.251,87251,01:27.785,87785
1035,66,18,11,12,7,01:28.2,01:26.9,01:27.8,01:28.222,88222,01:26.872,86872,01:27.790,87790
1036,66,8,1,3,8,01:28.2,01:27.2,01:27.9,01:28.236,88236,01:27.202,87202,01:27.866,87866
1037,66,9,2,17,9,01:28.2,01:27.4,01:28.2,01:28.212,88212,01:27.405,87405,01:28.167,88167
1038,66,17,3,9,10,01:28.3,01:27.6,01:29.4,01:28.307,88307,01:27.608,87608,01:29.436,89436
1039,66,32,9,15,11,01:28.3,01:27.9,\N,01:28.271,88271,01:27.852,87852,,
1040,66,37,1,4,12,01:28.4,01:27.9,\N,01:28.403,88403,01:27.897,87897,,
1041,66,15,7,8,13,01:28.5,01:28.0,\N,01:28.549,88549,01:27.973,87973,,
1042,66,22,11,11,14,01:28.4,01:28.3,\N,01:28.411,88411,01:28.257,88257,,
1043,66,3,3,10,15,01:28.9,01:28.4,\N,01:28.889,88889,01:28.386,88386,,
1044,66,27,13,19,16,01:29.0,01:28.6,\N,01:29.021,89021,01:28.639,88639,,
1045,66,14,9,14,17,01:29.1,\N,\N,01:29.136,89136,,,,
1046,66,26,5,21,18,01:29.2,\N,\N,01:29.158,89158,,,,
1047,66,24,5,20,19,01:29.2,\N,\N,01:29.250,89250,,,,
1048,66,33,13,18,20,01:29.9,\N,\N,01:29.901,89901,,,,
1049,66,29,8,23,21,01:30.6,\N,\N,01:30.607,90607,,,,
1050,66,11,8,22,22,01:30.9,\N,\N,01:30.850,90850,,,,
1051,67,8,1,3,1,01:22.0,01:21.3,01:21.5,01:21.994,81994,01:21.349,81349,01:21.484,81484
1052,67,30,6,5,2,01:21.7,01:21.4,01:21.5,01:21.711,81711,01:21.353,81353,01:21.486,81486
1053,67,2,2,16,3,01:21.8,01:21.4,01:21.7,01:21.764,81764,01:21.425,81425,01:21.653,81653
1054,67,13,6,6,4,01:22.0,01:21.2,01:21.7,01:22.028,82028,01:21.225,81225,01:21.704,81704
1055,67,18,11,12,5,01:22.5,01:21.6,01:22.0,01:22.512,82512,01:21.572,81572,01:22.011,82011
1056,67,9,2,17,6,01:22.4,01:21.3,01:22.3,01:22.437,82437,01:21.270,81270,01:22.258,82258
1057,67,37,1,4,7,01:22.4,01:21.9,01:22.3,01:22.422,82422,01:21.878,81878,01:22.280,82280
1058,67,22,11,11,8,01:22.6,01:21.7,01:22.8,01:22.640,82640,01:21.688,81688,01:22.787,82787
1059,67,21,4,2,9,01:22.5,01:21.7,01:23.2,01:22.486,82486,01:21.722,81722,01:23.175,83175
1060,67,4,4,1,10,01:21.7,01:21.5,01:25.7,01:21.747,81747,01:21.526,81526,01:25.688,85688
1061,67,15,7,8,11,01:22.1,01:21.9,\N,01:22.093,82093,01:21.924,81924,,
1062,67,3,3,10,12,01:22.6,01:22.2,\N,01:22.581,82581,01:22.203,82203,,
1063,67,23,7,7,13,01:22.6,01:22.3,\N,01:22.622,82622,01:22.280,82280,,
1064,67,14,9,14,14,01:22.6,01:22.6,\N,01:22.618,82618,01:22.589,82589,,
1065,67,26,5,21,15,01:22.9,01:23.2,\N,01:22.943,82943,01:23.165,83165,,
1066,67,32,9,15,16,01:22.9,\N,\N,01:22.898,82898,,,,
1067,67,24,5,20,17,01:23.0,\N,\N,01:23.043,83043,,,,
1068,67,27,14,19,18,01:23.1,\N,\N,01:23.116,83116,,,,
1069,67,17,3,9,19,01:23.3,\N,\N,01:23.341,83341,,,,
1070,67,33,14,18,20,01:23.9,\N,\N,01:23.920,83920,,,,
1071,67,11,8,22,21,01:24.3,\N,\N,01:24.289,84289,,,,
1072,67,29,8,23,22,01:26.0,\N,\N,01:26.001,86001,,,,
1073,68,4,4,1,1,01:44.1,01:44.0,01:44.4,01:44.128,104128,01:43.951,103951,01:44.360,104360
1074,68,21,4,2,2,01:44.4,01:44.3,01:45.0,01:44.378,104378,01:44.336,104336,01:44.992,104992
1075,68,22,11,11,3,01:47.1,01:45.2,01:45.5,01:47.072,107072,01:45.228,105228,01:45.503,105503
1076,68,18,11,12,4,01:45.8,01:44.7,01:45.5,01:45.809,105809,01:44.662,104662,01:45.503,105503
1077,68,8,1,3,5,01:44.9,01:45.6,01:45.8,01:44.909,104909,01:45.622,105622,01:45.754,105754
1078,68,30,6,5,6,01:47.4,01:45.7,01:45.8,01:47.366,107366,01:45.660,105660,01:45.775,105775
1079,68,37,1,4,7,01:44.8,01:45.1,01:45.9,01:44.808,104808,01:45.095,105095,01:45.877,105877
1080,68,2,2,16,8,01:46.2,01:45.1,01:46.1,01:46.249,106249,01:45.055,105055,01:46.053,106053
1081,68,9,2,17,9,01:46.0,01:45.6,01:46.6,01:46.049,106049,01:45.576,105576,01:46.632,106632
1082,68,38,9,15,10,01:46.4,01:45.7,01:48.0,01:46.387,106387,01:45.747,105747,01:48.021,108021
1083,68,26,5,21,11,01:46.2,01:45.9,\N,01:46.222,106222,01:45.851,105851,,
1084,68,14,9,14,12,01:45.9,01:46.0,\N,01:45.931,105931,01:45.968,105968,,
1085,68,24,5,20,13,01:45.6,01:46.2,\N,01:45.564,105564,01:46.172,106172,,
1086,68,17,3,9,14,01:48.6,01:46.4,\N,01:48.560,108560,01:46.413,106413,,
1087,68,3,3,10,15,01:47.5,01:47.4,\N,01:47.535,107535,01:47.419,107419,,
1088,68,23,7,7,16,01:48.9,\N,\N,01:48.894,108894,,,,
1089,68,15,7,8,17,01:49.1,\N,\N,01:49.098,109098,,,,
1090,68,33,14,18,18,01:49.9,\N,\N,01:49.903,109903,,,,
1091,68,29,8,23,19,01:55.6,\N,\N,01:55.560,115560,,,,
1092,68,13,6,6,20,01:47.2,01:46.0,\N,01:47.231,107231,01:45.970,105970,,
1093,68,11,8,22,21,01:50.3,\N,\N,01:50.326,110326,,,,
1094,68,27,14,19,22,01:49.5,\N,\N,01:49.542,109542,,,,
1095,69,13,6,6,1,01:30.1,01:29.8,01:29.6,01:30.112,90112,01:29.830,89830,01:29.599,89599
1096,69,30,6,5,2,01:31.3,01:29.0,01:29.7,01:31.279,91279,01:28.954,88954,01:29.711,89711
1097,69,23,7,7,3,01:30.6,01:30.3,01:30.0,01:30.595,90595,01:30.299,90299,01:29.989,89989
1098,69,15,7,8,4,01:30.4,01:30.2,01:30.0,01:30.420,90420,01:30.204,90204,01:30.039,90039
